countHojas,Foliolos_max,leghtHoja,raquisin,Imbricacion
5,112.000,140.000,36.000,1.600
5,89.000,107.000,33.000,1.400
4,86.000,90.000,34.000,0.700
4,128.000,154.500,37.700,1.800
2,6.000,85.500,27.000,7.000
1,78.000,89.000,27.300,1.200
2,6.000,62.000,11.500,4.500
2,21.000,71.000,26.500,3.300
2,94.000,104.000,36.000,0.800
2,4.000,46.000,19.000,1.300
2,12.000,144.000,37.000,7.500
4,104.000,109.500,17.700,1.500
1,7.000,47.000,9.800,3.600
5,42.000,41.600,7.700,0.700
1,6.000,37.000,10.000,2.000
1,3.000,54.400,40.700,2.100
1,9.000,146.000,5.500,6.500
1,6.000,97.400,29.600,4.200
1,6.000,98.600,21.000,5.700
1,4.000,29.800,10.700,1.500
1,10.000,95.000,22.000,5.000
